,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
46,"siidikuube,",di,1,i,1,0,x,0.1023551625261554,13.939807824510174,527.0809355486022,1988.6069075192459
47,vaesellapsel,vae,0,ae,2,1,ictus,0.22059996946871863,15.287709780524697,356.4155356874025,2060.53022679877
48,vaesellapsel,sel,1,ell,2,0,ictus,0.20335141218515318,15.446578071294345,482.3742785518518,1880.876131259608
49,vanad,va,0,a,1,1,x,0.2252888473850163,15.83121036227675,444.69804006589396,1922.4842313491763
50,vanad,nad,1,ɑ,2,0,ictus,0.1284006368919357,15.879194143032306,453.04291283356343,1603.0667922723894
51,"riided,",rii,0,iː,2,1,ictus,0.1619760209844543,16.056514891485538,456.5615994672369,1947.9571287011415
52,"riided,","ded,",1,e,2,0,ictus,0.07960898080220602,16.096950323734436,460.95753045137604,2019.3770442438424
53,orjukesel,or,0,o,2,1,ictus,0.0961114688021425,17.088688389571196,1165.392781875908,1510.5289001938966
54,orjukesel,ju,1,ju,2,0,ictus,0.1607381461001296,17.24196961136771,1116.4508297004802,1743.083790417747
55,omad,o,0,o,1,1,x,0.24359286058473373,17.744185457196515,540.0951131153554,1902.3402539194785
56,omad,mad,1,ɑ,2,0,x,0.10108275167121406,17.76572768296251,465.38572731406043,2042.3097612487004
57,"riided,",rii,0,iː,2,1,x,0.17083574657441858,17.974676598199846,615.4203783126453,2150.646059078051
58,"riided,","ded,",1,e,2,0,x,0.08948309164337331,18.006912419480773,522.7303152584008,2036.6422864464803
59,pajupuust,pa,0,a,1,1,x,0.2569546615018794,19.09164667544705,495.77037535778067,1359.6021249106068
60,pajupuust,ju,1,ʊ,1,0,x,0.11164007329823278,19.10162584090175,560.7083434868129,1426.6509614594488
61,pastlad,past,0,a,2,1,x,0.12211535756286196,19.482383834745395,663.7703256648849,1677.0233277549355
62,pastlad,lad,1,a,2,0,ictus,0.10458404933888943,19.634963658459647,834.5253175672972,1601.8184433977106
63,"jalgas,",jal,0,al,2,1,ictus,0.1927027936354193,19.830442673918185,775.5004282507435,1517.0307718766435
64,"jalgas,","gas,",1,a,2,0,ictus,0.10536267853447612,19.878964960085376,789.750978293047,2194.735989079164
65,kuusekoorest,kuu,0,uː,2,1,ictus,0.20240725086885902,20.959403439468126,920.7672929447823,1731.3708658247092
66,kuusekoorest,se,1,e,1,0,ictus,0.0956582213010364,21.010698427702014,961.3464571128773,1960.12083933153
67,selgas.,sel,0,el,2,1,x,0.2113597188329237,21.76495088737185,508.4744066032514,2135.1564822618197
68,selgas.,gas.,1,a,2,0,x,0.09983825914720512,21.79097256129851,523.0254429149587,2314.355713515383
