,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
48,11,tõusis,tõu,0,ɵ,2,1,off,0.0717733073357074,14.575396857749489,713.2328452937455,1448.6082870039138,77,LO
49,12,tõusis,tõu,0,u,2,1,off,0.0491558248299313,14.588666028911565,690.1180890882376,1396.1464667899234,77,LO
50,13,tõusis,sis,1,i,2,0,off,0.0805649181139074,14.669153034610506,682.3339323163548,1247.4681992736255,77,LO
51,14,oli,o,0,o,1,1,ictus,0.0868795882936481,19.669570994543648,514.0373009178351,1270.043017065526,77,LO
52,15,oli,li,1,ɪ,1,0,ictus,0.0762373196502963,19.71556475238909,524.2244125375549,1262.2676438881083,77,LO
53,16,akkas,ak,0,a,3,1,off,0.0866593510890609,23.698745680372998,391.2034996011772,1425.760071518836,77,LO
54,17,akkas,kas,1,a,2,0,off,0.0452480048749208,23.730556329534963,762.0224156887772,1547.209634566581,77,LO
55,18,korjama.,kor,0,o,2,1,off,0.1796518427681377,25.492602830107515,397.0340617515899,1652.3039081510378,77,LO
56,19,korjama.,ja,1,a,1,0,ictus,0.1491347169764907,25.658633437002983,648.1654387244226,877.4835863440717,77,LO
57,20,neede,nee,0,eː,2,1,off,0.0755578323814489,34.83479507472676,609.9813550431743,1006.971493587414,77,LO
58,21,neede,de,1,e,1,0,off,0.0888915675075878,34.91368634088975,580.4080704940957,979.5242938932184,77,LO
59,22,pani,pa,0,a,1,1,ictus,0.1138421312305695,37.2443935768088,660.363936741826,1572.385980538832,77,LO
60,23,pani,ni,1,ɪ,1,0,ictus,0.0534855785552537,37.26003702413348,837.7062316221175,1943.857180297583,77,LO
61,24,"taevudes,",tae,0,a,2,1,ictus,0.1929100132209669,39.048550283912576,1061.3962678919636,1371.303952673759,77,LO
62,25,"taevudes,",tae,0,e,2,1,ictus,0.1393611744207703,39.09145645172286,1053.9745145495292,1800.9788531645374,77,LO
63,26,"taevudes,",vu,1,u,1,0,off,0.1374779240465926,39.18875378855907,560.6336702076089,1325.6605119854898,77,LO
64,0,Laske,las,0,a,2,1,ictus,0.1945432826169622,0.233161499947067,905.4269299905744,1484.5378695644763,18,MH
65,1,Laske,ke,1,e,1,0,x,0.1901218443756676,0.4336607945364821,865.4733619697087,2212.2621795674354,18,MH
66,2,sissi,sis,0,i,2,1,x,0.1687515595427438,0.573608357244337,651.2664852986346,2079.3329098745094,18,MH
67,3,sissi,si,1,i,1,0,ictus,0.1893241770180587,0.7878011807284707,530.6652492478161,2308.9759360879343,18,MH
68,4,"kadrisandi,",kad,0,a,2,1,ictus,0.2619810954886461,1.0122609913384273,843.3314242815272,1887.7943968455504,18,MH
69,5,"kadrisandi,",ri,1,i,1,0,x,0.1670082467464977,1.1322745669673528,819.5861150916533,2412.3501051336857,18,MH
70,6,Laske,las,0,a,2,1,refrain,0.1665572562358281,3.0092942176870747,952.8006662097812,1587.202678110281,18,MH
71,7,Laske,ke,1,e,1,0,refrain,0.1627626842129625,3.189770797888794,944.2103635557175,1540.6922018325736,18,MH
72,8,sissi,sis,0,i,2,1,refrain,0.1646244063507342,3.326764570749828,897.1515053406237,1613.303570461938,18,MH
73,9,sissi,si,1,i,1,0,refrain,0.1772559147827985,3.5300239136490124,819.7879571685054,1552.620660806385,18,MH
74,10,"kadrisandi,",kad,0,a,2,1,refrain,0.2247564439324749,3.7215649766730583,468.142665445578,2091.0095095221163,18,MH
75,11,"kadrisandi,",ri,1,i,1,0,refrain,0.1644624704972033,3.848107149424514,456.45894755291727,1717.1028754680926,18,MH
76,12,kadril,kad,0,a,2,1,ictus,0.2155274119570354,5.61983782729371,722.1506044835625,1761.1859378230156,18,MH
77,13,kadril,kad,0,i,2,1,ictus,0.1420407943894588,5.740177710403416,912.1169836823012,1550.6294829207166,18,MH
78,14,küüdse,küüd,0,yy,2,1,x,0.2462718180679477,5.979674314222995,815.1732589962991,2141.124262113638,18,MH
79,15,küüdse,se,1,e,1,0,x,0.1821145190119359,6.107047081860446,655.5833321136093,2245.8617728156964,18,MH
80,16,"külmeteve,",kül,0,y,2,1,ictus,0.17557820417586,6.234626561108656,518.5753769335745,2061.9266190216404,18,MH
81,17,"külmeteve,",me,1,e,2,0,ictus,0.1262584839017417,6.373181130017612,526.051837492467,1638.603545236616,18,MH
82,18,kadril,kad,0,a,2,1,refrain,0.2138447200959774,8.249899648880188,437.8392953122133,1719.5601861334733,18,MH
83,19,kadril,ril,1,i,2,0,refrain,0.0985593174767558,8.327454352532767,868.5205889307023,1712.6259309734653,18,MH
