,word,syll,foot,segment,quantity,stressed,ictus,duration,f1,f2,song,performer
332,sain,sain,0,ai,3,1,off,0.1464999999999996,929.3162114232672,1655.528681193593,41,LK
333,"soolavakka,",soo,0,oː,2,1,ictus,0.3324733390461567,565.6394794949806,1395.6218957537908,41,LK
334,"soolavakka,",la,1,a,1,0,ictus,0.2135408256132649,600.2620859509032,1342.3342427659782,41,LK
335,soolavakast,soo,0,oː,3,1,ictus,0.3505759410407876,490.1619537069241,1145.722019003137,41,LK
336,soolavakast,la,1,a,1,1,ictus,0.237711081421402,432.8304249302967,1582.0434282693457,41,LK
337,"vaisiküisi,",vai,0,ai,2,1,ictus,0.2624918823233599,580.201258511674,1226.769748184359,41,LK
338,"vaisiküisi,",si,1,i,2,0,ictus,0.2050717830651223,705.6681767017453,1150.0659952199308,41,LK
339,vaisiküisist,vai,0,ai,2,1,ictus,0.3326511042271676,403.50194817030393,2196.827609055223,41,LK
340,vaisiküisist,si,1,i,2,0,ictus,0.2102354978715723,418.2410562705357,1612.534770357894,41,LK
341,kübara,kü,0,y,1,1,ictus,0.3419678362293759,898.0460396082091,1171.926065717479,41,LK
342,kübara,ba,1,ɑ,1,0,ictus,0.2381561716597424,612.1801415840513,1498.1289213298935,41,LK
343,ja,ja,0,a,3,1,off,0.1199077240659818,765.8439085128246,1269.5670657630542,41,LK
344,kübarast,kü,0,y,1,0,ictus,0.4127729891509162,812.9910938206823,903.3201731568428,41,LK
345,kübarast,ba,1,ɑ,1,0,ictus,0.1129990723503411,602.0792658551458,861.5913528925241,41,LK
346,sain,sain,0,ai,3,1,off,0.1979075324986539,720.9380651343657,1333.0407373636322,41,LK
347,"künnirauda,",kün,0,y,2,1,off,0.2276084246143028,816.4428325914503,1392.8817762538924,41,LK
348,"künnirauda,",ni,1,i,1,0,ictus,0.2796883183819858,789.9988937342556,1160.5678419516366,41,LK
349,künnirauast,kün,0,y,2,1,off,0.2626724457485991,721.2667987220883,1047.0807867267436,41,LK
350,künnirauast,ni,1,i,1,0,ictus,0.2196989619006899,815.5944894467298,1579.783160569271,41,LK
351,sain,sain,0,ai,3,1,off,0.1155862987248781,808.5560684548274,1000.5749153133062,41,LK
352,ranitsa,ra,0,a,1,1,ictus,0.3617193185422493,479.7239975029184,1008.01996141759,41,LK
