,Unnamed: 0,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,euc,fileid,performer
145,85,sina,si,0,i,1,1,off,0.2748068112610013,36.4275868908803,1146.3144225234048,2281.7961097651346,1135.4816872417298,18,MH
146,86,sina,na,1,ɑ,1,0,ictus,0.1911073293239695,36.51730918304001,805.338915349743,1877.3242362841247,1071.985320934382,18,MH
147,87,anna,an,0,a,2,1,ictus,0.2674155138419252,36.68917103221995,958.6919821658132,1535.9184458144507,577.2264636486376,18,MH
148,88,anna,na,1,a,1,0,off,0.1979490398312435,36.83078510665032,840.387952832905,1575.8253715731066,735.4374187402017,18,MH
149,89,penki!,pen,0,e,2,1,off,0.1775440907648828,36.94778356321446,341.8988354985454,2024.3199156390424,1682.4210801404972,18,MH
150,90,penki!,ki!,1,i,2,0,ictus,0.1887264438168898,37.15045701246005,392.6503844379086,1653.6154688213874,1260.9650843834788,18,MH
151,91,"Perenaine,",pe,0,e,1,0,off,0.2859933815868487,38.6363210146887,915.9459468957234,1543.4929650546385,627.5470181589151,18,MH
152,92,"Perenaine,",re,1,ɛ,1,0,off,0.2215811822397881,38.75892795648269,846.655450805705,1466.9615170888248,620.3060662831199,18,MH
153,93,"linnukene,",lin,0,i,2,1,off,0.1932399296818943,39.19776058984094,1147.4075385762212,1420.8723240247623,273.4647854485411,18,MH
154,94,"linnukene,",nu,1,u,2,0,off,0.1414054465711842,39.326017949061466,1051.04197809093,1210.6439957693117,159.60201767838157,18,MH
155,95,tagant,ta,0,a,1,0,off,0.2343210541359042,41.16936207971911,674.0444009076823,1321.1528236253434,647.1084227176611,18,MH
156,96,tagant,gant,1,ɑ,3,1,off,0.1374971677080196,41.22964722178785,927.1223498075252,2289.8426047523903,1362.7202549448652,18,MH
157,97,laudjas,laud,0,au,2,1,ictus,0.2434071482398678,41.48141568428024,645.2757347209572,900.832345299174,255.5566105782168,18,MH
158,98,laudjas,jas,1,a,2,0,ictus,0.0891873520268262,41.52136418570892,652.8103479496508,929.9407055411524,277.1303575915016,18,MH
159,99,"tasane,",ta,0,a,1,1,off,0.2463521399945136,41.78744151784306,545.5763591911011,842.5405568420407,296.9641976509396,18,MH
160,100,"tasane,",sa,1,ɑ,1,0,ictus,0.2223712231526491,41.938417743844255,804.6882536865867,2201.5009264146,1396.812672728013,18,MH
161,101,puhu,pu,0,u,1,1,off,0.2894618922157264,43.70468216018744,669.922626351729,1702.7535331545596,1032.830906802831,18,MH
162,102,puhu,hu,1,ʊ,1,0,off,0.2093429756203022,43.81064588858784,617.1747116259143,1929.263276688915,1312.0885650630007,18,MH
163,103,tuli,tu,0,u,1,1,off,0.268786042771751,44.02257334538864,928.1731111168818,1511.806685501268,583.6335743843862,18,MH
164,104,tuli,li,1,ɪ,1,0,off,0.197004466185362,44.115652301361095,943.7255988684304,1605.8826472234698,662.1570483550395,18,MH
165,105,"tubadesse,",tu,0,u,1,1,off,0.2539179432987737,44.31003688406435,929.9790128279484,1641.462583014932,711.4835701869833,18,MH
166,106,"tubadesse,",ba,1,ɑ,1,0,off,0.2087736334336227,44.42771488857055,650.1140173675465,1611.9175356262972,961.8035182587508,18,MH
