,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
165,kadril,kad,CVC,0,a,2,1,ictus,0.222945203263464,151.31531030938456,918.9621404232589,1511.6874245528388
166,kadril,ril,CVC,1,i,2,0,x,0.09568025733179297,151.6331462939615,763.817703844657,2271.0839194952837
167,karaskit.,ka,CV,0,a,1,1,ictus,0.2275646661194628,151.95653743818625,1020.28485962516,1318.0297578232544
168,karaskit.,ras,CVC,1,ɑ,2,0,x,0.15387752725524706,152.18402616100022,953.7686079471586,1447.4698446291509
169,ma,ma,CV,0,a,3,1,x,0.103304353157057,156.37742782850594,1012.1516136931558,1471.6870413239235
170,juhate,ju,CV,0,u,1,1,ictus,0.16075653436809034,156.66103448906938,655.9367182398408,998.2444053411582
171,juhate,ha,CV,1,ɑ,2,0,x,0.1299196726205878,156.92011410593472,1084.038250233144,1642.5988709776566
172,kambren,kamb,CVCC,0,a,2,1,ictus,0.16840892854355616,160.75162926311626,1066.6362563224116,1394.6842653230367
173,kambren,ren,CVC,1,e,2,0,x,0.09996969671666989,161.08388937671776,782.9768312008223,1790.8386262707206
174,kapi,ka,CV,0,a,2,1,ictus,0.1361063236977884,161.36106845706195,989.4973095913416,1550.8849133171166
175,kapi,pi,CV,1,i,1,0,x,0.21583302487889,161.73417997808434,397.9033804005576,2299.92749982737
176,taha,ta,CV,0,a,1,1,ictus,0.22003678118093717,165.55737062040873,1034.6417287522474,1044.268496274744
177,taha,ha,CV,1,ɑ,1,0,x,0.13209508030081452,165.84438560259738,1045.4622308777477,1267.0925732059031
178,kanaliha,ka,CV,0,a,1,1,ictus,0.2668150742482567,166.15284473044954,940.542039560313,1377.0470882679797
179,kanaliha,na,CV,1,ɑ,1,0,x,0.20989718631145138,166.49230254063116,1047.2286404485649,1639.0204721418813
180,kana,ka,CV,0,a,1,1,ictus,0.2387595302915031,170.4753734504294,911.1633497785967,1466.2202063855973
181,kana,na,CV,1,ɑ,1,0,x,0.16700369719097807,170.76781697690805,1122.6624181359527,1398.7975411702212
182,kannustenu.,kan,CVC,0,a,2,1,ictus,0.16830589840222387,171.04878773219508,1063.7757819766123,1895.9823384540582
183,kannustenu.,nus,CVC,1,u,2,0,x,0.09944653183623586,171.35002474995488,646.8894151036961,1340.093565350519
184,"Saagu,",saa,CVV,0,a,2,1,ictus,0.22442227149667815,174.87269360201964,1185.3818701873695,1408.694419240198
185,"Saagu,",gu,CV,1,u,2,0,x,0.1502851263363425,175.1820220528952,372.5347067178502,982.4252230410276
186,"saagu,",saa,CVV,0,a,2,1,ictus,0.19434921899068058,175.44868476550465,1038.7757175717263,1556.045717283036
187,sajatan,sa,CV,0,a,1,1,ictus,0.197661578356076,176.03941158959512,933.8702970772393,1573.3051973970055
188,sajatan,ja,CV,1,ɑ,2,0,x,0.09680424658472475,176.30912386633207,1027.096361540654,1594.484128440717
189,"Saagu,",saa,CVV,0,aa,2,1,ictus,0.28141836734693015,179.59574213435374,1198.1226847886037,1202.703064070426
190,"Saagu,",gu,CV,1,u,2,0,x,0.1419082643145373,179.8648476270552,444.5002133177964,989.2369228219327
191,"saagu,",saa,CVV,0,aa,2,1,ictus,0.24608673469387554,180.1290155187075,941.8641946912398,1573.4688054843302
192,sajatan,sa,CV,0,a,1,1,ictus,0.18056766214442632,180.77342733983244,998.7263250303217,1516.1895339426646
193,sajatan,ja,CV,1,ɑ,2,0,x,0.11659035502006532,181.05120054490362,993.5401777961883,1742.1675609093018
194,tütar,tü,CV,0,y,2,1,ictus,0.15860892687413752,184.7925356323576,635.9921880005895,1999.273188940827
195,tütar,tar,CVC,1,a,2,0,x,0.11423209854442007,185.13521218742272,975.1924023050946,1468.9166050573206
196,"seenetagu,",see,CVV,0,e,2,1,ictus,0.27620749966300195,185.4905765907988,651.5564365189664,1755.2792447715692
197,"seenetagu,",ne,CV,1,e,2,0,x,0.11595091732780816,185.7456138928507,800.6613444193214,2290.162141393174
198,aia,ai,VV,0,ai,2,1,ictus,0.29416563266329376,189.2050970991816,1038.7822748747828,1534.759143856147
199,aia,a,V,1,a,1,0,x,0.14599431861819312,189.545488943084,1081.7628648341633,1451.6245337924493
200,hääre,hää,CVV,0,æ,2,1,ictus,0.25006810054455286,189.86539367081616,917.8171502290716,1715.049604786936
201,hääre,re,CV,1,e,1,0,x,0.1549087600487553,190.15296617548307,826.7181250186809,1748.5342396036315
202,"allitagu,",al,VC,0,a,2,1,ictus,0.222475640868538,190.3416583759417,1044.6485847797064,1504.3672151430496
203,"allitagu,",li,CV,1,i,2,0,x,0.09072251313378388,190.6650274868801,667.8787942886589,2231.736341937856
204,vennal,ven,CVC,0,e,2,1,ictus,0.13435885405499448,193.89796300494527,794.1982539965411,2354.7339959454816
205,vennal,nal,CVC,1,a,2,0,x,0.10769475388997307,194.18698980891776,977.079166112003,1570.8247984226339
206,"kandijaksa,",kan,CVC,0,a,2,1,ictus,0.1929664037388079,195.04848732551736,1129.137460999646,1509.0348837064873
207,"kandijaksa,",di,CV,1,i,1,0,x,0.20879587396368038,195.44901277730384,463.9334794155429,2033.272900007924
208,õvve,õv,VCC,0,ɵ,2,1,ictus,0.21901502049442456,199.27788346412007,861.1718788493193,1370.603378470374
209,õvve,ve,CV,1,e,1,0,x,0.17143035110436244,199.59888363418884,759.1006271666859,1908.311251283791
210,"pühkijaksa,",püh,CVC,0,y,2,1,ictus,0.15127677890865243,199.84774453095616,494.3159945126788,2057.9523452483477
