,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
22,"partisida,",par,CVVC,0,a,2,1,ictus,0.13022922635378542,12.695078804122964,896.56813964814,1415.3743458624772
23,"partisida,",ti,CV,1,i,1,0,off,0.1922142554285866,13.085503983396816,431.6938588673677,1731.7905259848915
24,kõrtsi,kõrt,CVCC,0,ɵ,2,1,ictus,0.15998923964574807,14.04475001945011,664.509359951048,1624.931404169962
25,kõrtsi,si,CV,1,i,1,0,off,0.17754864585534058,14.441186454446942,549.2630670405558,1751.1449855780118
26,kirju,kir,CVVC,0,i,2,1,ictus,0.15640487827843508,14.717968366073379,404.64908873795474,1557.3685328182498
27,kirju,ju,CV,1,u,1,0,off,0.1755307947535698,15.130891273555331,596.9395974871181,1192.6026244795567
28,kalkunid.,kal,CVVC,0,al,2,0,ictus,0.30868038253171903,15.479577296840215,1006.679938921063,1422.5237689088365
29,kalkunid.,ku,CV,1,u,1,0,off,0.26142337184120024,15.90967176340905,541.4037287777537,923.158223376319
30,Kuidas,kui,CVV,0,ui,2,1,ictus,0.3322013146929237,17.29166273862687,674.8088235927094,1719.8163635883832
31,Kuidas,das,CVVC,1,a,2,0,off,0.12202867672750273,17.581147946886695,784.3939396581085,1516.8423928959546
32,kul´li,kul´,CVCC,0,ull,2,1,ictus,0.3552750030008447,17.998775179284543,473.3323666930031,1568.2114676783253
33,kul´li,li,CV,1,i,1,0,off,0.189822386020559,18.27671140423347,577.3857338504891,1719.0942010708554
34,Nii,nii,CVVVV,0,iiː,3,1,ictus,0.2886728990320364,19.96711930035793,506.79688820931676,2556.0444583982944
35,kui,kui,CVVVV,0,uiː,3,1,off,0.22919415987048097,20.297899313597,659.9429564663325,1863.958146701208
36,mõisa,mõi,CVV,0,ɵi,2,1,ictus,0.29253411185642975,20.647096889650015,483.84162064629663,1314.9287252357353
37,mõisa,sa,CV,1,a,1,0,off,0.22901259662967988,20.9932506293806,831.0228710252894,1418.547015455071
38,mõõduvakk.,mõõ,CVV,0,ɵː,2,1,ictus,0.3640256352485167,21.370958513575903,879.9839789191633,1399.4829380140798
39,mõõduvakk.,du,CV,1,u,1,0,off,0.20529352685526803,21.725460222320827,713.0448202482314,919.3012903722495
40,kul´li,kul´,CVCC,0,ull,2,1,ictus,0.3222754460693693,23.468122524699623,440.1216312141338,1462.966536325971
41,kul´li,li,CV,1,i,1,0,off,0.24267460698407461,23.750597551226345,591.6220880633541,1608.1836320695243
42,silmakesed?,sil,CVVC,0,il,2,0,ictus,0.2509085364653352,24.085419285810936,434.7789558472969,1217.4591244986314
43,silmakesed?,ma,CVV,1,a,2,0,off,0.13832137266678757,24.36849558336157,929.710884498716,1381.6639826461874
44,kulla,kul,CVVC,0,ull,2,1,ictus,0.33346436423932957,26.13477791625087,359.17863169545325,1465.9882009117196
45,kulla,la,CV,1,a,1,0,off,0.21481777634992127,26.408918986545494,957.700427495996,1450.9408296183858
46,karbikes,kar,CVVC,0,a,2,1,ictus,0.199955487022887,26.720021582837035,842.7655831015177,1364.4471383567377
47,karbikes,bi,CVV,1,i,2,0,off,0.1604294023788242,27.14667079061261,419.17591655674386,1846.9146882728703
48,Kuidas,kui,CVV,0,ui,2,1,ictus,0.3312108096431565,28.525210753885524,680.920270239071,1571.454217809129
49,Kuidas,das,CVVC,1,a,2,0,off,0.1288167836472951,28.804292277896813,789.4257457883284,1385.1236690258438
50,nokakene?,no,CVV,0,o,2,1,ictus,0.19139306064376171,29.766922322273107,724.0155136526171,1143.5116954493617
51,nokakene?,ka,CVV,1,a,2,0,off,0.1506043755885358,30.13349755591048,844.5884509869238,1350.2826007926658
52,talu,ta,CV,0,a,1,1,ictus,0.3459004590567858,31.872232214164374,775.5689930482829,1253.3059363773489
53,talu,lu,CV,1,ʊ,1,0,off,0.17218716827691338,32.19510975898986,580.1336202596124,1236.1640446839758
54,taarinaga.,taa,CVV,0,aː,2,1,ictus,0.3784447981184442,32.588158734953225,849.7725891618179,1421.9773408200813
55,taarinaga.,ri,CV,1,i,1,0,off,0.1753435736329294,32.96193478914724,729.6529183550863,804.3599926944837
56,Kuidas,kui,CVV,0,ui,2,1,ictus,0.31914721153846415,34.0128698374272,656.357305162365,1579.8995282974024
57,Kuidas,das,CVVC,1,a,2,0,off,0.0995623798601386,34.279984993335376,766.3275166687175,1394.5889949863408
58,kul´li,kul´,CVCC,0,ull,2,1,ictus,0.34735097782167657,34.6982400491055,483.45383382319574,1442.6369929568868
59,kul´li,li,CV,1,i,1,0,off,0.21225374252341567,34.978042409278046,594.1076386088687,1446.2534608628312
60,küinekesed?,küi,CVV,0,yi,2,1,ictus,0.3038858690989841,35.34071789605201,499.5830006974774,1443.4457671411355
61,küinekesed?,ne,CVV,1,e,2,0,off,0.13991867354198462,35.6303932748694,675.7991350718619,1483.8392833001415
62,küla,kü,CV,0,y,1,1,ictus,0.33354089397779063,37.84613922890476,506.91818885525134,1633.83878259626
63,küla,la,CV,1,ɑ,1,0,off,0.23134085265387228,38.17905661733297,733.6508699890525,1374.1540392786153
64,kajukooku.,ka,CV,0,a,1,1,ictus,0.3884469583064316,38.588009431840874,736.2258216487209,1551.429403794386
65,kajukooku.,ju,CV,1,ʊ,1,0,off,0.24389062508175385,38.99634619231587,539.7574550622614,1285.098471089234
66,kul´li,kul´,CVCC,0,ull,2,1,ictus,0.35449218761882406,40.75990791279648,448.7391671133212,1386.146492413861
67,kul´li,li,CV,1,i,1,0,off,0.20985937507035146,41.04208369414107,600.8868521258572,1237.5200070710953
68,sabakene?,sa,CV,0,e,1,1,ictus,0.28766132745617057,42.08698459257003,572.2855943893843,1358.8104770963369
69,sabakene?,ba,CVV,1,e,2,0,off,0.2021677795166923,42.403987361265294,589.210718813664,1372.3575301417773
70,mõisa,mõi,CVV,0,ɵi,2,1,ictus,0.3038782757383416,43.44643047664331,408.40652462450566,1435.5282246948755
71,mõisa,sa,CV,1,a,1,0,off,0.19318614375601584,43.77346268639049,761.6251996330091,1437.1506672615324
72,tuuliluuda,tuu,CVV,0,uː,2,1,ictus,0.4014076375824942,44.188913692420165,868.5153549193453,1033.9939537188427
73,tuuliluuda,li,CV,1,i,1,0,off,0.17588179173225882,44.547060082842705,400.2941362313135,1446.8997547611837
