,word,syll,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
20,varba,var,0,a,2,1,refrain,0.13390103440514523,8.484086630184178,913.2583979872173,1543.0941215980129
21,varba,ba,1,a,1,0,refrain,0.18359932991158345,8.72618022254912,871.2514065460431,1409.4774609262738
22,valutave!,va,0,a,1,1,refrain,0.2381143547194604,8.914191435778319,607.249988802821,1424.9806480998975
23,valutave!,lu,1,ʊ,2,0,refrain,0.12429278972692259,8.958885076630247,536.0308156727865,1921.1266595572006
24,tullu,tul,0,u,2,1,ictus,0.16768704893200237,11.047561288342449,860.1132411976406,1620.4063689714071
25,tullu,lu,1,u,1,0,x,0.11694070930016665,11.190148252185155,554.7009409793072,1981.473175174884
26,ümmert,üm,0,y,2,1,x,0.19894515299306192,13.360897793319142,651.5449812146256,2102.7307742340577
27,ümmert,mert,1,e,2,0,refrain,0.15739948298694273,13.491975003820281,923.6995582067069,1595.2440604160079
28,"ilma,",il,0,i,2,1,refrain,0.21225260023068415,13.694749577277214,937.2301907286084,1632.06301551564
29,"ilma,","ma,",1,a,2,0,refrain,0.22596431899028246,13.91558356255637,928.077565002458,1615.7106641812672
30,ümmert,üm,0,y,2,1,refrain,0.20894666237829185,14.01154806543952,765.2996379314253,1541.4779000388157
31,ümmert,mert,1,e,2,0,refrain,0.11442175103595176,14.099098480510044,898.5578718952565,2239.4259708838076
32,"otsa,",ot,0,o,2,1,refrain,0.16461389389346692,14.278038234132731,477.6230088858817,1441.2849331924208
33,"otsa,","sa,",1,a,2,0,refrain,0.20499376585315332,14.515755705526479,549.1185851538304,1271.9705619581637
34,läbi,lä,0,æ,1,1,refrain,0.16153847326662074,15.874774444966643,958.3590831855861,2255.550892779825
35,läbi,bi,1,ɪ,1,0,ictus,0.2073178293412461,16.067299468808947,833.8515537411046,1554.969160835432
36,"sipa-sopa,",si,0,i,2,1,x,0.16331560854901284,16.498883316882345,568.6668994204416,2007.1628704933487
37,"sipa-sopa,",si,0,o,2,1,ictus,0.17609044691553777,16.84068940524887,877.1120826846709,1501.24526993587
38,"sipa-sopa,",pa,1,a,1,0,ictus,0.1947704733294131,16.70895294499804,704.1629905534736,980.2874825557684
39,"sipa-sopa,",pa,1,a,1,0,x,0.1764711583356302,17.046585741668963,640.9126927176915,1580.3118944215973
40,läbi,lä,0,æ,1,1,x,0.19915483482756002,18.491818897284006,656.1997586045072,1274.383296949575
41,läbi,bi,1,ɪ,1,0,refrain,0.23707815156070922,18.692210631902796,1045.3232609474837,1446.3429584247408
42,laane,laa,0,aː,2,1,refrain,0.267246562330115,18.883557326218998,1201.840870311978,1495.5213360926514
43,laane,ne,1,e,1,0,refrain,0.19915483482756002,18.98577529682342,817.6241946578366,1625.6710546395996
44,lipa-lapa.,li,0,i,2,1,refrain,0.1257820009437296,19.040751525480687,879.2604093705684,1627.4070231163362
45,lipa-lapa.,li,0,a,2,1,refrain,0.14181147150122797,19.36977240900123,587.224004295156,2070.713896534308
46,lipa-lapa.,pa,1,a,1,0,refrain,0.19391391812157366,19.287074610662142,613.1799291067575,1955.2240678327407
47,lipa-lapa.,pa,1,a,1,0,refrain,0.20311118953539165,19.60289502236708,641.2629677852742,2097.5024446011666
48,uppus,up,0,u,3,1,ambiguous,0.11639453984691528,21.162511410196167,1110.4673230651579,1509.3914238977372
49,uppus,pus,1,u,2,0,ambiguous,0.1392608069850496,21.35717352290265,503.8813610713962,2061.7211702762966
50,ojasse,o,0,o,1,1,ambiguous,0.19530609228550588,21.549706791835856,721.5787425036792,1256.1864353747062
51,ojasse,jas,1,ɑ,2,0,ambiguous,0.12705345700705806,21.637893380476445,368.5728037828338,1315.5917232115412
52,vahele,va,0,a,1,1,refrain,0.23983707796389808,24.079278559688643,925.3319646802788,1576.874986728403
53,vahele,he,1,ɛ,1,0,refrain,0.2362798951458771,24.239374912422456,816.4898780427789,1178.1060241221105
54,lumi,lu,0,u,1,1,refrain,0.20489905756303983,25.962970905498114,620.8796166738393,1706.73263926881
55,lumi,mi,1,ɪ,1,0,refrain,0.20999873046113748,26.123754293102852,1036.4920381535796,2120.144370831563
56,rikkus,rik,0,i,3,1,refrain,0.1602189348886327,26.20899692083783,847.2018969661289,2111.8800981849154
57,rikkus,kus,1,u,2,0,ictus,0.09016906593733154,26.314752161002538,537.731670053571,1530.2047180305162
58,"loogakirja,",loo,0,oː,2,1,x,0.25081270897501895,26.6207489184753,348.0392706106664,1768.4098903849522
59,"loogakirja,",ga,1,a,1,0,x,0.1759632145711123,26.71338326359417,909.9338352167852,2141.5425450982443
60,sadu,sa,0,a,1,1,x,0.26336730626379534,28.526420281450033,887.7520467786628,1926.7202807956276
61,sadu,du,1,ʊ,1,0,x,0.2251558349119236,28.657868647841127,928.7014661613772,1443.1461569343458
62,rikkus,rik,0,i,3,1,x,0.16670065452652238,28.726807895072902,1064.7214065581472,1370.6445055630336
63,rikkus,kus,1,u,2,0,off,0.13554274145096912,28.866789411348538,941.7221293110651,1458.1262071152767
64,"saaniteki,",saa,0,aː,2,1,off,0.26683212332110173,29.14241461588871,978.6879590678485,1310.276927046763
65,"saaniteki,",ni,1,i,1,0,off,0.1644798221009367,29.213427349751132,1197.6444066883348,1359.5927358786782
66,ärmätus,är,0,æ,2,1,off,0.17021115570189949,30.925754343003025,518.0007722349708,1459.4726764447378
67,ärmätus,mä,1,æ,2,0,off,0.11126019933961118,31.04435437962756,731.5076097402414,1946.2677430875074
68,tõsta,tõs,0,ɵ,2,1,x,0.16383403470898372,33.753572968863885,899.3274742436981,1353.0347023233792
69,tõsta,ta,1,a,1,0,refrain,0.1884013314471389,33.96805676614527,800.9285839761154,1444.668625267293
70,"Anna,",an,0,a,2,1,refrain,0.18252610866434793,36.0181745126655,489.24280418301214,1672.0321409649366
71,"Anna,","na,",1,a,2,0,refrain,0.15887239552083088,36.17205393340687,469.5718408185654,2075.336639279707
72,sina,si,0,i,1,1,refrain,0.25121006635495746,36.41071091993361,1020.3259693659681,2236.1563450457597
