,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2
28,endi,en,VVC,0,e,2,1,ictus,0.12572016210658887,18.66112402976892,516.2765602380315,2124.530798432204
29,endi,di,CV,1,i,1,0,x,0.09925275955783164,18.982702970736298,455.5106247785259,2123.555157829132
30,vara,va,CV,0,a,1,1,ictus,0.20379899962541614,19.290386525365584,955.0409603156465,1493.9794205279043
31,vara,ra,CV,1,ɑ,1,0,x,0.11303522233689733,19.526882473865566,1367.6589766294937,1891.2420493390457
32,vaevama,vae,CVV,0,ae,2,1,ictus,0.2355598826839227,19.820660163770015,854.6543660840335,2160.1939992835883
33,vaevama,va,CV,1,a,1,0,ictus,0.1406781148201972,20.12920584411891,870.1448458855936,1565.477016907308
34,Teeni,tee,CVV,0,ee,2,1,ictus,0.26996750599730746,22.63759975480856,477.32772122469515,1999.4093573100597
35,Teeni,ni,CV,1,i,1,0,x,0.10586961019502183,22.871836267365044,337.23820566661755,2364.687573482141
36,saksa,sak,CVCC,0,a,2,1,ictus,0.08866579853833301,23.092177393583434,1011.6094120005009,1696.1086405112442
37,saksa,sa,CV,1,a,1,0,x,0.07940220764626815,23.397214207957838,796.6736256183226,1896.3732604468873
38,sada,sa,CV,0,a,1,1,ictus,0.2327599107287206,23.689602390271425,808.2704392095393,1142.4430582137006
39,aastat –,aas,VVC,0,aː,2,1,ictus,0.23587505327393998,24.14125342799752,1383.6436184689899,1518.1471333891943
40,aastat –,tat –,CVCC,1,a,2,0,x,0.092635908920645,24.475793367327896,1276.0390937208622,1972.9044695939335
41,saksal,sak,CVCC,0,a,2,1,ictus,0.08337231802858014,26.352201426315837,902.7513406496265,1590.4268799251784
42,saksal,sal,CVVC,1,al,2,0,x,0.11910331146940223,26.64797464979818,723.19684070289,1779.4959700997217
43,sel´gäs,sel´,CVCC,0,el,2,1,ictus,0.16674463605716028,26.91486512733422,481.5995856715349,2144.1052491144806
44,sel´gäs,gäs,CVVC,1,æ,2,0,x,0.05628427932123259,27.122282870357527,717.5642573574856,1306.8994291927202
45,"siidikuube,",sii,CVV,0,iː,2,1,ictus,0.23567382260817382,27.446531884997405,446.57774846354454,1981.2183596720317
46,"siidikuube,",di,CV,1,i,1,0,x,0.1023551625261554,27.726082905231117,422.7672169916087,2203.7533055869408
47,vaesellapsel,vae,CVV,0,ae,2,1,ictus,0.22059996946871863,30.244519606846318,742.4122583693922,2013.0896896809757
48,vaesellapsel,sel,CVVC,1,ell,2,0,x,0.20335141218515318,30.58812902431096,424.4710741072351,2003.472284956842
49,vanad,va,CV,0,a,1,1,ictus,0.2252888473850163,31.324487453475975,1000.0088865389226,1492.9739368353214
50,vanad,nad,CVVC,1,ɑ,2,0,x,0.1284006368919357,31.565787330726707,1406.6718056185382,1775.142955302818
51,"riided,",rii,CVV,0,iː,2,1,ictus,0.1619760209844543,31.870065751494394,383.98287595443645,1961.1468104409894
52,"riided,",ded,CVVC,1,e,2,0,x,0.07960898080220602,32.07448717626556,520.2140525482268,2006.0759843838896
53,orjukesel,or,VVC,0,o,2,1,ictus,0.0961114688021425,34.03320957593918,568.0373284704555,1209.9453266804808
54,orjukesel,ju,CVV,1,ju,2,0,x,0.1607381461001296,34.24283200358523,319.75175639615895,1737.3967206584266
55,omad,o,V,0,o,1,1,ictus,0.24359286058473373,35.122981623515926,888.5986287808274,1735.5931556758776
56,omad,mad,CVVC,1,ɑ,2,0,x,0.10108275167121406,35.3798312384182,1181.2957317691828,1631.2527026925056
57,"riided,",rii,CVV,0,iː,2,1,ictus,0.17083574657441858,35.69309957653806,379.9493229763758,2224.201372169053
58,"riided,",ded,CVVC,1,e,2,0,x,0.08948309164337331,35.87960020149649,465.3752786861174,2019.9897356320093
59,pajupuust,pa,CV,0,a,1,1,ictus,0.2569546615018794,37.79786135864128,1073.4679566428533,1714.1786145301735
60,pajupuust,ju,CV,1,ʊ,1,0,x,0.11164007329823278,38.03579157185615,475.16675265678475,1496.363301387314
61,pastlad,past,CVCC,0,a,2,1,ictus,0.12211535756286196,38.7815946331465,1193.5948040577603,1764.2218983693895
62,pastlad,lad,CVVC,1,a,2,0,x,0.10458404933888943,39.113051242910956,1042.5630502711524,1678.5284913156354
63,"jalgas,",jal,CVVC,0,al,2,1,ictus,0.1927027936354193,39.37183115738324,403.5499112202697,1845.2786349439796
64,"jalgas,",gas,CVVC,1,a,2,0,x,0.10536267853447612,39.59988590236904,841.0435999342436,1597.0802505753652
65,kuusekoorest,kuu,CVV,0,uː,2,1,ictus,0.20240725086885902,41.61519600263296,372.7092218087323,691.1864739277796
66,kuusekoorest,se,CV,1,e,1,0,x,0.0956582213010364,41.87790952345247,486.3392655230356,1918.658733570709
67,selgas.,sel,CVVC,0,el,2,1,ictus,0.2113597188329237,43.212862196494314,412.2069711910576,2180.41491056203
68,selgas.,gas,CVVC,1,a,2,0,x,0.09983825914720512,43.43218773387621,1559.7849124378222,2001.019597319045
