,word,word_dur,syll,quantity,stress,segment,seg_duration,seg_midpoint,ictus,f1,f2,f3
28,sun´niman´nist,1.385884009868624,man´,2,0,(a) n,0.04806789781997667,3.7615216293028118,ictus,551.3888338058773,1109.121005339247,2799.8049885656337
29,sun´niman´nist,1.385884009868624,man´,2,0,n,0.04806789781997711,3.809589527122789,off,551.6942557713325,1204.8486570694536,2207.1705465036553
30,sun´niman´nist,1.385884009868624,man´,2,0,(´) i,0.14420369345993045,3.9057253227627426,off,510.71806935631855,1132.8333819947686,2278.8588888300837
31,sun´niman´nist,1.385884009868624,nist,2,0,(n) s,0.056904123024299036,4.006279231004857,off,913.6511943268791,1331.8585640976735,2111.7274223717504
32,sun´niman´nist,1.385884009868624,nist,2,0,(i) t,0.04832026487606367,4.058891424955039,ictus,919.0353766132671,1476.4432238016266,2427.968075895805
33,sain,0.4019580797951372,sain,3,1,s,0.07120071018062646,4.118651912483384,ictus,1004.432917747672,1517.5168107540187,2099.979332848303
34,sain,0.4019580797951372,sain,3,1,a,0.13876133786848044,4.223632936507937,ictus,556.0022269350483,1448.4583174527863,2439.9500708602104
35,sain,0.4019580797951372,sain,3,1,i,0.07873866213151981,4.332382936507937,ictus,511.83628833004235,965.1019263267575,2694.3652956511633
36,sain,0.4019580797951372,sain,3,1,n,0.1132573696145105,4.4283809523809525,ictus,614.154037082278,1432.1013035521275,2526.4091058275862
37,"mal´lika,",1.203763402704169,mal´,2,1,m,0.0402006322076236,4.50510995329202,off,622.3717832744984,2069.8026842805793,2494.822557949224
38,"mal´lika,",1.203763402704169,mal´,2,1,a,0.18306468532229303,4.616742612056978,off,774.5496297738075,1603.7053089093897,2145.7929372999743
39,"mal´lika,",1.203763402704169,mal´,2,1,l,0.08650309306437975,4.751526501250314,ictus,599.1410896722722,1588.8282745792628,2443.518861808695
40,"mal´lika,",1.203763402704169,mal´,2,1,(´) l,0.07644459387084801,4.833000344717928,ictus,644.6727239197193,1243.0766325217046,2448.514829168205
41,"mal´lika,",1.203763402704169,li,2,0,(l) i,0.13076048951592334,4.936602886411314,ictus,543.9284157962393,1227.7005053680969,2462.1181988406356
42,"mal´lika,",1.203763402704169,li,2,0,(i) k,0.17702958580617256,5.090497924072362,ictus,945.0672544237235,1502.8372777878185,2722.6189204132756
43,"mal´lika,",1.203763402704169,"ka,",2,0,(k) a,0.5097603229169287,5.433892878433912,off,571.4448396105257,1159.7872266181598,2608.125330823648
44,mal´likast,1.0136827870453002,mal´,2,1,m,0.10640615978866297,5.741976119786708,ictus,715.3008204688331,1317.6848098653038,2290.7099906398594
45,mal´likast,1.0136827870453002,mal´,2,1,a,0.19312318451582566,5.891740791938952,ictus,770.5456969322938,1411.044241215218,2472.314826205913
46,mal´likast,1.0136827870453002,mal´,2,1,l,0.05230419580636969,6.01445448210005,ictus,818.3385986251182,1419.9671132478975,2334.1209788617502
47,mal´likast,1.0136827870453002,mal´,2,1,(´) l,0.08449139322567323,6.082852276616071,ictus,756.8942607680923,1392.9306679636506,2307.1544236967898
48,mal´likast,1.0136827870453002,li,2,0,(l) i,0.12271369016109723,6.186454818309457,off,789.024315817536,1165.1199283872827,1756.8659025324705
49,mal´likast,1.0136827870453002,li,2,0,(i) k,0.15691258741910818,6.32626795709956,ictus,930.934436643746,1393.681239846114,2566.1896011639783
50,mal´likast,1.0136827870453002,kast,2,0,(k) a,0.1730061861287595,6.4912273438734935,ictus,618.8719586804563,1318.4559213266905,2316.8527163922035
51,mal´likast,1.0136827870453002,kast,2,0,(a) s,0.05062670591926999,6.603043789897509,ictus,581.61475876662,1495.0909366170108,2601.4838935295425
52,mal´likast,1.0136827870453002,kast,2,0,(s) t,0.07409868408053377,6.66540648489741,ictus,587.4710681977963,1641.827134707965,2593.995803773723
53,sain,0.31858840741127015,sain,3,1,s,0.06112920707592995,6.7330204304756425,off,528.920180018237,1418.5116721712366,2577.666858386065
54,sain,0.31858840741127015,sain,3,1,a,0.102053665910808,6.8146118669690114,off,614.4892084713656,1817.397336663807,2655.042266229802
55,sain,0.31858840741127015,sain,3,1,i,0.05778533635676464,6.894531368102797,off,618.5288036799094,1509.5491224222142,1800.2561486336342
56,sain,0.31858840741127015,sain,3,1,n,0.09762019806776756,6.972234135315063,off,780.6165911753152,1577.1762014177878,1760.9065101603305
57,"man´nipil´li,",1.187246764466476,man´,2,1,m,0.08996451140799078,7.066026490052943,ictus,812.0149986293294,1735.7157580674009,2131.6013604879327
58,"man´nipil´li,",1.187246764466476,man´,2,1,a,0.24059216127254146,7.231304826393209,ictus,699.3889540974255,1662.8111205821729,2429.4352787180915
59,"man´nipil´li,",1.187246764466476,man´,2,1,n,0.06453794221401754,7.383869878136489,ictus,761.9866525679689,1189.5156326381734,2360.981612828126
60,"man´nipil´li,",1.187246764466476,man´,2,1,(´) n,0.049402016754966915,7.440839857620981,off,612.1733990513633,1137.8152526022734,2262.1968583837256
61,"man´nipil´li,",1.187246764466476,ni,2,0,(n) i,0.13077004435138218,7.5309258881741545,off,521.3901948395385,1151.305344918452,2427.7489394817926
