,Unnamed: 0,word,syll,shape,index,segment,quantity,stressed,ictus,duration,midpoint,f1,f2,fileid,performer
396,53,vahele,he,CV ,1,ɛ,1,0,off,0.2362798951458771,48.1243299821261,729.7124270936557,2140.163226441185,18,MH
397,54,lumi,lu,CV ,0,u,1,1,ictus,0.2048990575630398,51.61859322465167,652.1676545051727,1090.1276220128927,18,MH
398,55,lumi,mi,CV ,1,ɪ,1,0,off,0.2099987304611374,51.932510490514,341.9230901884225,2491.159981379104,18,MH
399,56,rikkus,rik,CVVCC,0,i,3,1,ictus,0.1602189348886327,52.17766543934271,635.2058853935846,1916.6159770575828,18,MH
400,57,rikkus,kus,CVVC,1,u,2,0,off,0.0901690659373315,52.49425072309908,426.1743021422336,947.2272579268234,18,MH
401,58,"loogakirja,",loo,CVV,0,oː,2,1,ictus,0.2508127089750189,52.86527877348807,794.8231485564705,1015.201017966634,18,MH
402,59,"loogakirja,",ga,CV ,1,a,1,0,off,0.1759632145711123,53.16282170533167,995.8953163964084,1370.7577766622285,18,MH
403,60,sadu,sa,CV ,0,a,1,1,ictus,0.2633673062637953,56.65778960350437,1099.0775780917038,1325.335281697929,18,MH
404,61,sadu,du,CV ,1,ʊ,1,0,off,0.2251558349119236,56.97800354331437,606.9434042539034,1062.1796974188392,18,MH
405,62,rikkus,rik,CVVCC,0,i,3,1,ictus,0.1667006545265223,57.20356480835602,635.1441171120971,1251.09863868361,18,MH
406,63,rikkus,kus,CVVC,1,u,2,0,off,0.1355427414509691,57.53026471052063,610.5771974500525,856.0244288675871,18,MH
407,64,"saaniteki,",saa,CVV,0,aː,2,1,ictus,0.2668321233211017,57.88458104679577,1089.8263580398584,1587.7719323613896,18,MH
408,65,"saaniteki,",ni,CV ,1,i,1,0,off,0.1644798221009367,58.18013496635086,611.8622895803454,2073.242389103727,18,MH
409,66,ärmätus,är,VVVC,0,æ,2,1,ictus,0.1702111557018994,61.5961919524532,1120.1769053824785,1700.703436726263,18,MH
410,67,ärmätus,mä,C V,1,æ,2,0,off,0.1112601993396111,61.9218184602457,1084.3179761271103,1467.7063483090524,18,MH
411,68,tõsta,tõs,CVVC,0,ɵ,2,1,ictus,0.1638340347089837,67.26139488566429,723.3703101470838,1849.495476611924,18,MH
412,69,tõsta,ta,CV ,1,a,1,0,off,0.1884013314471389,67.65351153511983,942.2543389994324,1448.684273226722,18,MH
413,70,"Anna,",an,VVVC,0,a,2,1,ictus,0.1825261086643479,71.76255986233448,1181.4000841656732,1325.5155831743864,18,MH
414,71,"Anna,",na,C V,1,a,2,0,off,0.1588723955208308,72.1057992735325,1131.689666240995,1606.7887867375114,18,MH
415,72,sina,si,CV ,0,i,1,1,ictus,0.2512100663549574,72.44460674033478,539.9389994763949,1582.4157937265686,18,MH
416,73,anna,an,VVVC,0,a,2,1,ictus,0.2047887636813783,73.00853216875728,1095.312316784116,1771.032727698264,18,MH
417,74,anna,na,CV ,1,a,1,0,off,0.1803816250386347,73.37343036095007,1060.4435214673797,1747.8387073829913,18,MH
418,75,penki!,pen,CVVC,0,e,2,1,ictus,0.1469727664168658,73.62578366069172,856.5428845997956,1956.1389949882496,18,MH
419,76,penki!,ki,C V,1,i,2,0,off,0.1801284575092268,74.0221233523486,487.1376417208244,2333.464553632551,18,MH
420,77,"Perenaine,",pe,CV ,0,e,1,0,ictus,0.2859933815868487,76.84365195699712,754.2603753212034,1681.5071065514692,18,MH
421,78,"Perenaine,",re,CV ,1,ɛ,1,0,off,0.2022806358841222,77.19513441278355,714.9774613947133,2090.485150333814,18,MH
422,79,"linnukene,",lin,CVVC,0,i,2,1,ictus,0.1774004800863622,78.09774156036127,394.4931374629914,2218.5889181447137,18,MH
423,80,"linnukene,",nu,C V,1,u,2,0,off,0.1006122293592,78.4458635290463,661.4232737994224,1051.8051522900162,18,MH
424,81,tagant,ta,CV ,0,a,1,0,ictus,0.2130611915841882,81.9871721492388,1147.5589113983478,1400.6036951636304,18,MH
425,82,tagant,gant,CVVCC,1,ɑ,3,1,off,0.1273958004828301,82.24799800840108,1135.1042069394418,1541.787516866734,18,MH
426,83,laudjas,laud,CVVC,0,au,2,1,ictus,0.229878220071356,82.60448511028493,939.9265314344332,1508.3503819343496,18,MH
427,84,laudjas,jas,CVVC,1,a,2,0,off,0.0611564531399011,82.90876362257924,840.9468005949884,1590.206995288888,18,MH
428,85,"tasane,",ta,CV ,0,a,1,1,ictus,0.2239115300444893,83.20749331055701,1068.8411014508392,1838.772150517554,18,MH
429,86,"tasane,",sa,CV ,1,ɑ,1,0,off,0.2101312966260167,83.54939861622285,1058.1637965627883,1883.4938626991732,18,MH
430,87,puhu,pu,CV ,0,u,1,1,ictus,0.2140475859896611,86.97136027764606,684.1174154863252,1093.9365815544018,18,MH
431,88,puhu,hu,CV ,1,ʊ,1,0,off,0.1943836376766086,87.29979764477338,362.3791970427988,1010.4610149313486,18,MH
432,89,tuli,tu,CV ,0,u,1,1,ictus,0.268786042771751,87.64196762661966,564.2277581695523,1071.3864353413894,18,MH
433,90,tuli,li,CV ,1,ɪ,1,0,off,0.1887291620748215,87.93993555549942,366.16165229999626,1668.5985123184166,18,MH
434,91,"tubadesse,",tu,CV ,0,u,1,1,ictus,0.2209523468280423,88.23464831394031,454.7786949294454,977.9330685844852,18,MH
435,92,"tubadesse,",ba,CV ,1,ɑ,1,0,off,0.1864285426361647,88.54475538264242,1034.3291626310297,1384.1308899290957,18,MH
436,93,lõõtsu,lõõt,CVCC,0,ɵɵ,2,1,ictus,0.219680900342297,92.1073580292942,695.5960635742324,1596.6734662224262,18,MH
437,94,lõõtsu,su,CV ,1,u,1,0,off,0.1629521323713021,92.4406911925784,514.6159059603714,1159.040142961109,18,MH
438,95,lõke,lõ,C V,0,ɵ,2,1,ictus,0.1371088223620518,92.68324568859371,916.9754683653132,1779.5063897401474,18,MH
439,96,lõke,ke,CV ,1,e,1,0,off,0.1670923165453217,93.06276888684872,775.2119528098707,2272.8164514832383,18,MH
440,97,"põrmandulle,",põr,CVVC,0,ɵ,2,1,ictus,0.1537573473507052,93.31740682115844,714.6967723854573,1739.83604829421,18,MH
441,98,"põrmandulle,",man,CVVC,1,a,2,0,off,0.1451906317460611,93.63745656861964,1084.9684127693088,1858.936263691715,18,MH
442,99,võta,võ,C V,0,ɵ,2,1,ictus,0.1386841922413992,97.02262636355238,673.2242957381679,1424.7094466361386,18,MH
443,100,võta,ta,CV ,1,a,1,0,off,0.1701593481978989,97.39023251894422,954.3579562184711,1622.0866621468222,18,MH
444,101,pirdu,pir,CVVC,0,i,2,1,ictus,0.1395619837468587,97.64102654818062,667.8548474942266,1828.5012248382973,18,MH
445,102,pirdu,du,CV ,1,u,1,0,off,0.1813665356826703,98.0300663069886,535.8103185223506,1151.7596963015842,18,MH
446,103,"pistussesta,",pis,CVVC,0,i,2,1,ictus,0.1524719633695781,98.2690546929184,437.2864701501436,2044.36724261146,18,MH
447,104,"pistussesta,",tus,CVVC,1,u,2,0,off,0.1371525457951747,98.60890491348088,512.6997113960813,1175.6201555078185,18,MH
448,105,võta,võ,C V,0,ɵ,2,1,ictus,0.1371088223620375,102.11858076928196,751.9110051343646,1593.661809836702,18,MH
449,106,võta,ta,CV ,1,a,1,0,off,0.2045753039536464,102.49064729115818,1150.3000655480962,1248.4172237782582,18,MH
450,107,halgu,hal,CVVC,0,a,2,1,ictus,0.1251743057228367,102.7651096587784,978.0557613445616,1548.0313593518815,18,MH
451,108,halgu,gu,CV ,1,u,1,0,off,0.1634105721839915,103.14393617826688,590.089307516647,861.3932072506278,18,MH
452,109,ahju,ah,VVVC,0,a,2,1,ictus,0.1808807750767869,103.35488197716276,986.6864301682816,1170.3193688213194,18,MH
453,110,ahju,ju,CV ,1,u,1,0,off,0.1299197770044458,103.71606808507568,652.3922862426195,1048.329627264559,18,MH
454,111,päälta!,pääl,CVVVC,0,ææ,3,1,ictus,0.1787415813424075,103.95108662945329,1065.267673498534,1729.4561469416744,18,MH
455,112,päälta!,ta,C V,1,a,2,0,off,0.160782288093614,104.3048258987028,1033.0700693366084,1341.0571858965209,18,MH
456,113,pirdu,pir,CVVC,0,i,2,1,ictus,0.1213265118743294,107.5659059443394,680.4751009065544,2350.5811481209307,18,MH
457,114,pirdu,du,CV ,1,u,1,0,off,0.1431046946490823,107.92795144407847,659.0056529397618,1056.7376056471426,18,MH
458,115,"pistussenna,",pis,CVVC,0,i,2,1,ictus,0.1689909605342023,108.16413738537916,407.8463292877156,2078.48198800132,18,MH
459,116,"pistussenna,",tus,CVVC,1,u,2,0,off,0.1374079209819569,108.51701085551008,457.2089803268888,1097.9629839828565,18,MH
460,117,võta,võ,C V,0,ɵ,2,1,ictus,0.1272608056709998,111.9077865882998,803.7025927450019,1600.2671530661526,18,MH
461,118,võta,ta,CV ,1,a,1,0,off,0.1806110822154778,112.24714875310994,1082.4440212021996,1480.252498624366,18,MH
462,119,lõmmu,lõm,CVVC,0,ɵ,2,1,ictus,0.2031972475293741,112.53295857911088,893.9689119949654,1831.2843821082483,18,MH
463,120,lõmmu,mu,CV ,1,u,1,0,off,0.1529681152710935,112.87872830944312,675.14449087289,1092.7233298864558,18,MH
464,121,lõhna,lõh,CVVC,0,ɵ,2,1,ictus,0.1790430212331841,113.14389453306195,768.7620329726059,1629.9880355572834,18,MH
465,122,lõhna,na,CV ,1,a,1,0,off,0.1878368259557845,113.468277003018,1068.263193564833,1794.4799215182452,18,MH
466,123,"päälta,",pääl,CVVVC,0,ææ,3,1,ictus,0.178444984657986,113.71625897487736,1200.9688779529015,1819.219107232744,18,MH
467,124,"päälta,",ta,C V,1,a,2,0,off,0.1736021264424749,114.0847439261244,1045.7488407414369,1578.0934455465508,18,MH
468,125,lõmmu,lõm,CVVC,0,ɵ,2,1,ictus,0.1670658949328896,117.3697832373408,710.4245183608726,1697.0401610246597,18,MH
469,126,lõmmu,mu,CV ,1,u,1,0,off,0.1775470706061668,117.72541123746396,589.7833515106677,1153.2722750535877,18,MH
470,127,lõhna,lõh,CVVC,0,ɵ,2,1,ictus,0.1797118347390238,117.98826893588272,796.6686768411355,1612.6762480539992,18,MH
471,128,lõhna,na,CV ,1,a,1,0,off,0.160664489347468,118.31433189036537,1062.6360232627069,1679.038733942862,18,MH
472,129,"päälta,",pääl,CVVVC,0,ææ,3,1,ictus,0.1682877902229194,118.58402955732478,938.1450243576146,1824.113993308023,18,MH
