Filename,position,segment,syllable,F1,F2,F3,performer,euc
65,off,ɪ,2,419.8220746,1876.304241,2609.861658,LK,1456.482167
65,off,ɪ,2,597.1427416,1749.491933,2566.079856,LK,1152.349191
41,off,ɪ,2,563.0234891,1345.995073,2842.463374,LK,782.9715834
92,off,ɪ,2,458.4076318,1163.703241,2871.000277,LK,705.2956093
94,off,ɪ,2,611.727969,1015.997889,2853.716153,LK,404.2699205
94,off,ɪ,2,476.365771,911.7645741,2690.635618,LK,435.3988031
65,ictus,o,1,791.6051942,1258.036789,2231.836129,LK,466.4315947
65,ictus,o,1,599.8902627,1184.337046,2450.039563,LK,584.4467835
65,ictus,o,1,584.3624306,1053.724934,2382.928176,LK,469.3625029
65,ictus,o,1,685.3520294,1265.390825,2671.021789,LK,580.0387958
65,ictus,o,2,791.6051942,1258.036789,2231.836129,LK,466.4315947
65,ictus,o,2,599.8902627,1184.337046,2450.039563,LK,584.4467835
65,ictus,o,2,584.3624306,1053.724934,2382.928176,LK,469.3625029
65,ictus,o,2,685.3520294,1265.390825,2671.021789,LK,580.0387958
65,off,o,1,840.2345099,1087.288163,2511.191831,LK,247.0536532
65,off,o,1,961.3261499,1420.090334,2680.561915,LK,458.7641841
65,off,o,1,778.0115913,1325.895247,2329.089901,LK,547.8836559
65,ictus,o,1,968.9826455,1170.790137,1418.677711,LK,201.8074911
41,ictus,o,1,588.7931398,1137.878868,2394.183409,LK,549.085728
41,ictus,o,1,610.4076007,1088.074777,2489.962517,LK,477.6671764
65,ictus,o,2,968.9826455,1170.790137,1418.677711,LK,201.8074911
41,ictus,o,2,588.7931398,1137.878868,2394.183409,LK,549.085728
41,ictus,o,2,610.4076007,1088.074777,2489.962517,LK,477.6671764
41,off,o,1,805.9274773,1337.568765,2647.203722,LK,531.6412876
41,off,o,1,653.1356687,1289.880202,1823.603534,LK,636.7445332
65,ictus,ø,1,581.6733648,1513.457065,2236.206904,LK,931.7836999
65,ictus,ø,2,581.6733648,1513.457065,2236.206904,LK,931.7836999
65,off,ø,1,680.1759792,1703.441965,1980.726698,LK,1023.265986
65,ictus,ø,1,468.2703481,1903.458823,2586.171123,LK,1435.188475
65,ictus,ø,2,468.2703481,1903.458823,2586.171123,LK,1435.188475
65,off,ø,1,856.2166313,2073.63144,2585.93618,LK,1217.414809
41,ictus,ɵ,1,598.2591441,1614.680956,2977.296719,LK,1016.421812
92,ictus,ɵ,1,661.7981024,1608.185857,2493.392098,LK,946.3877542
94,ictus,ɵ,1,589.4621925,1431.232007,2603.142636,LK,841.7698143
94,ictus,ɵ,1,767.2007426,1454.525912,2687.96552,LK,687.3251696
41,ictus,ɵ,2,598.2591441,1614.680956,2977.296719,LK,1016.421812
92,ictus,ɵ,2,661.7981024,1608.185857,2493.392098,LK,946.3877542
94,ictus,ɵ,2,589.4621925,1431.232007,2603.142636,LK,841.7698143
94,ictus,ɵ,2,767.2007426,1454.525912,2687.96552,LK,687.3251696
41,off,ɵ,1,565.4332075,1512.653118,2689.170597,LK,947.2199102
41,off,ɵ,1,703.015945,1576.680071,3076.343592,LK,873.6641259
94,off,ɵ,1,666.1355814,1500.523632,2819.817268,LK,834.388051
92,ictus,ɵ,1,886.708125,1405.994853,2266.270662,LK,519.286728
92,ictus,ɵ,2,886.708125,1405.994853,2266.270662,LK,519.286728
65,ictus,u,1,662.6909803,1027.493038,2261.540566,LK,364.8020572
65,ictus,u,1,549.0413879,1177.482534,2000.725916,LK,628.441146
65,ictus,u,1,540.3738228,1075.750991,2266.907121,LK,535.3771687
65,ictus,u,1,547.3428564,1070.25477,2246.510631,LK,522.9119136
41,ictus,u,1,566.3680858,1181.119085,1968.226231,LK,614.7509988
94,ictus,u,1,673.4021213,1070.249414,2276.360142,LK,396.8472928
94,ictus,u,1,664.1757922,976.2390673,1734.864593,LK,312.0632751
94,ictus,u,1,698.2820116,966.8081581,1986.667867,LK,268.5261465
65,ictus,u,2,662.6909803,1027.493038,2261.540566,LK,364.8020572
65,ictus,u,2,549.0413879,1177.482534,2000.725916,LK,628.441146
65,ictus,u,2,540.3738228,1075.750991,2266.907121,LK,535.3771687
65,ictus,u,2,547.3428564,1070.25477,2246.510631,LK,522.9119136
41,ictus,u,2,566.3680858,1181.119085,1968.226231,LK,614.7509988
94,ictus,u,2,673.4021213,1070.249414,2276.360142,LK,396.8472928
94,ictus,u,2,664.1757922,976.2390673,1734.864593,LK,312.0632751
94,ictus,u,2,698.2820116,966.8081581,1986.667867,LK,268.5261465
65,off,u,1,679.6964792,1376.494789,1852.964651,LK,696.7983103
65,off,u,1,519.7146937,1016.941558,2666.650062,LK,497.2268648
65,off,u,2,579.2157042,1143.23064,2496.045306,LK,564.0149361
65,off,u,2,711.2004932,1079.184368,1912.271763,LK,367.9838752
41,off,u,2,585.8871797,980.2535752,2610.807803,LK,394.3663955
41,off,u,2,592.66508,1092.686471,2038.289617,LK,500.0213913
41,off,u,2,519.1245733,966.575844,2257.613382,LK,447.4512707
92,off,u,2,597.0070158,1182.473416,2517.382437,LK,585.4663998
92,off,u,2,719.3129993,921.3525973,1857.563375,LK,202.0395979
94,off,u,2,559.086549,1097.589729,2333.155088,LK,538.50318
94,off,u,2,503.9349888,1048.043143,2412.794303,LK,544.1081545
94,off,u,2,524.2718554,1189.158664,2496.598904,LK,664.8868083
94,off,u,2,542.3866937,1329.671209,2033.46152,LK,787.2845153
94,off,u,2,533.3113911,1167.053727,2229.705836,LK,633.7423357
65,ictus,u,1,486.3020602,1075.600441,2304.011651,LK,589.2983812
65,ictus,u,1,605.1757384,948.5479323,2208.43903,LK,343.3721939
65,ictus,u,2,486.3020602,1075.600441,2304.011651,LK,589.2983812
65,ictus,u,2,605.1757384,948.5479323,2208.43903,LK,343.3721939
65,off,ʊ,2,724.8605816,1154.922577,2424.680657,LK,430.0619953
92,off,ʊ,2,622.5848549,1040.42248,2493.182449,LK,417.8376255
94,off,ʊ,2,565.5533303,1085.429488,2159.085146,LK,519.8761575
65,ictus,y,1,557.9943671,1602.01247,2352.54356,LK,1044.018103
65,ictus,y,1,878.7841801,1678.503823,2569.828131,LK,799.7196431
65,ictus,y,1,522.363664,1759.737155,2565.496294,LK,1237.373491
41,ictus,y,1,582.2736797,1149.140851,2090.641414,LK,566.8671712
41,ictus,y,1,583.8580327,1327.529406,1993.023824,LK,743.6713729
41,ictus,y,1,415.9892044,1627.100351,1951.926013,LK,1211.111147
41,ictus,y,1,503.2963839,1215.180945,2054.62432,LK,711.8845607
65,ictus,y,2,557.9943671,1602.01247,2352.54356,LK,1044.018103
65,ictus,y,2,878.7841801,1678.503823,2569.828131,LK,799.7196431
65,ictus,y,2,522.363664,1759.737155,2565.496294,LK,1237.373491
41,ictus,y,2,582.2736797,1149.140851,2090.641414,LK,566.8671712
41,ictus,y,2,583.8580327,1327.529406,1993.023824,LK,743.6713729
41,ictus,y,2,415.9892044,1627.100351,1951.926013,LK,1211.111147
41,ictus,y,2,503.2963839,1215.180945,2054.62432,LK,711.8845607
65,off,y,1,547.4837276,1876.628915,2162.735984,LK,1329.145187
41,off,y,1,561.6980092,1323.063221,2111.655002,LK,761.3652113
41,off,y,1,576.6401436,1636.934967,1842.531273,LK,1060.294824
94,ictus,y,1,421.0078039,749.3493522,2044.160668,LK,328.3415483
94,ictus,y,1,521.5028054,1603.55086,2340.313862,LK,1082.048055
94,ictus,y,2,421.0078039,749.3493522,2044.160668,LK,328.3415483
94,ictus,y,2,521.5028054,1603.55086,2340.313862,LK,1082.048055
69,ictus,a,1,728.9343473,1892.541486,2883.953793,LO,1163.607138
69,ictus,a,2,728.9343473,1892.541486,2883.953793,LO,1163.607138
77,off,a,1,898.6108412,1324.965856,1668.840639,LO,426.3550144
77,off,a,1,559.8556117,1425.149265,1944.173402,LO,865.2936534
77,off,a,1,859.3309943,1040.794498,2307.330826,LO,181.4635033
69,off,a,2,1234.092106,1921.708557,2880.879003,LO,687.6164515
77,off,a,2,681.8212029,1234.901396,1989.323547,LO,553.0801933
77,off,a,2,857.1181398,1363.6767,1923.660284,LO,506.5585606
69,ictus,e,1,701.4950089,2083.01511,2471.160208,LO,1381.520102
77,ictus,e,1,399.2852453,844.7067287,1738.859895,LO,445.4214834
69,ictus,e,2,701.4950089,2083.01511,2471.160208,LO,1381.520102
77,ictus,e,2,399.2852453,844.7067287,1738.859895,LO,445.4214834
77,off,e,1,790.6567578,1784.478938,2830.189235,LO,993.8221797
69,off,e,2,492.8433201,1866.727361,2231.446741,LO,1373.884041
69,off,e,2,661.6558781,2043.460728,2502.308345,LO,1381.80485
77,off,e,2,608.0211603,747.6518162,2002.422292,LO,139.6306558
77,off,e,2,614.0781098,1273.062612,2278.250845,LO,658.9845026
77,off,e,1,594.8394184,843.2749306,2220.971181,LO,248.4355122
77,off,e,1,431.7399996,893.3204654,2220.807007,LO,461.5804657
69,ictus,i,1,318.0196147,2150.469623,3297.21434,LO,1832.450008
69,ictus,i,2,318.0196147,2150.469623,3297.21434,LO,1832.450008
69,off,i,2,342.5647229,1987.983399,3135.727259,LO,1645.418676
77,off,i,2,359.3035489,1615.046597,2092.28082,LO,1255.743048
77,off,ɪ,2,578.4412801,916.2798398,2204.392787,LO,337.8385597
77,off,ɪ,2,530.5231383,1222.175657,2463.09562,LO,691.6525187
77,off,ɪ,2,485.3982752,1416.591224,2132.024395,LO,931.1929486
77,off,ɪ,2,387.1742809,1126.819279,2342.992976,LO,739.6449981
77,off,ɪ,2,456.1291188,2028.855168,2159.505462,LO,1572.726049
77,off,ʎ,1,501.0613309,1756.360564,1880.191746,LO,1255.299233
77,off,ʎ,1,369.9291318,1628.843513,2381.368883,LO,1258.914381
77,off,ʎ,1,385.8103275,1667.35288,2238.483229,LO,1281.542552
69,ictus,o,1,890.8071085,1099.706415,2557.741586,LO,208.8993062
77,ictus,o,1,560.4810346,999.9609191,2179.876561,LO,439.4798845
77,ictus,o,1,727.5924788,1278.880695,1760.692717,LO,551.2882163
69,ictus,o,2,890.8071085,1099.706415,2557.741586,LO,208.8993062
77,ictus,o,2,560.4810346,999.9609191,2179.876561,LO,439.4798845
77,ictus,o,2,727.5924788,1278.880695,1760.692717,LO,551.2882163
69,off,o,1,872.6295889,1702.598566,2765.749235,LO,829.968977
77,off,o,1,505.2745759,1113.012371,1619.190706,LO,607.7377952
77,off,o,1,679.7162963,1280.417605,2089.52004,LO,600.7013087
77,off,o,1,391.7377382,1328.812564,2137.735357,LO,937.074826
77,off,o,1,495.3656025,1361.139967,1828.001217,LO,865.7743648
69,ictus,ø,1,443.9305173,1896.253802,2135.32279,LO,1452.323285
69,ictus,ø,2,443.9305173,1896.253802,2135.32279,LO,1452.323285
69,off,ø,1,448.5597968,2125.073374,2774.385303,LO,1676.513578
77,off,ɵ,1,508.9732796,1135.930405,2276.033942,LO,626.9571255
69,ictus,u,1,426.3583743,1547.48255,2104.777074,LO,1121.124176
69,ictus,u,2,426.3583743,1547.48255,2104.777074,LO,1121.124176
69,off,u,1,478.9031412,1476.140888,2919.552218,LO,997.237747
77,off,u,1,494.7066698,1340.555539,1987.06686,LO,845.8488696
9,ictus,a,1,664.5914373,1340.229179,2473.658185,MH,675.6377418
9,ictus,a,1,885.3381649,1420.478291,2134.29977,MH,535.1401257
9,ictus,a,1,1197.785658,1398.149799,2675.113936,MH,200.3641416
18,ictus,a,1,905.0203846,1615.360183,2670.814904,MH,710.3397988
18,ictus,a,1,893.6172467,1556.554823,2537.984819,MH,662.9375765
18,ictus,a,1,1088.316206,1679.327431,2993.170965,MH,591.0112251
18,ictus,a,1,1200.874484,1293.220304,2859.390096,MH,92.34582013
18,ictus,a,1,1202.556951,1262.571005,2902.923657,MH,60.01405424
18,ictus,a,1,965.0425155,1489.58156,2593.017138,MH,524.5390444
18,ictus,a,1,1070.230105,1604.111431,3095.212303,MH,533.8813256
18,ictus,a,1,1081.482946,1488.99783,2837.239266,MH,407.5148841
18,ictus,a,1,1053.22059,1501.57709,3158.041939,MH,448.3564996
18,ictus,a,1,1076.515407,1346.196267,2920.135674,MH,269.6808592
18,ictus,a,1,1180.907631,1324.640632,2829.139055,MH,143.733001
18,ictus,a,1,1086.31935,1645.262584,3128.717362,MH,558.9432345
18,ictus,a,1,1147.982716,1385.336862,2891.820004,MH,237.3541468
18,ictus,a,1,1078.684883,1881.863119,3194.773688,MH,803.1782361
18,ictus,a,1,999.4676157,1251.498053,2854.07224,MH,252.0304377
18,ictus,a,1,909.0803949,1625.319148,2279.160605,MH,716.2387534
18,ictus,a,1,1051.102811,1455.381905,2901.22077,MH,404.2790938
18,ictus,a,1,1130.170839,1366.832852,2412.337641,MH,236.6620135
18,ictus,a,1,989.7740009,1554.115292,2849.41403,MH,564.3412915
18,ictus,a,1,1020.327879,1076.124202,2946.802268,MH,55.79632273
18,ictus,a,1,939.2760105,1373.780147,2539.330567,MH,434.5041364
18,ictus,a,1,916.4621816,1463.895203,2642.808533,MH,547.4330212
18,ictus,a,1,1063.636918,1902.935205,3060.145806,MH,839.2982864
18,ictus,a,1,871.4617504,1570.847483,2461.21486,MH,699.3857322
18,ictus,a,1,938.3728088,1576.832852,2504.578193,MH,638.4600434
18,ictus,a,1,992.1329989,1374.121342,2671.977605,MH,381.9883431
18,ictus,a,1,1145.30917,1506.213254,2916.235138,MH,360.9040841
9,ictus,a,2,664.5914373,1340.229179,2473.658185,MH,675.6377418
9,ictus,a,2,885.3381649,1420.478291,2134.29977,MH,535.1401257
