Filename,label,segment,syllable, h1 , h2 , h1-h2 
18,ictus,aː,1,18.9706823,26.98878552,-8.01810322
18,ictus,aː,1,-0.897313129,38.51505023,-39.41236336
18,ictus,a,1,20.99218869,32.25168771,-11.25949902
18,ictus,iː,1,25.56553017,42.8276265,-17.26209633
18,ictus,y,1,21.92558407,36.24777108,-14.322187
18,ictus,eː,1,21.94613847,33.41148229,-11.46534381
18,ictus,ai,1,15.52971558,24.49672141,-8.967005832
18,ictus,æː,1,22.37738306,35.35161969,-12.97423663
18,ictus,aʎ,1,19.57868214,32.24386423,-12.66518209
18,ictus,e,1,19.46196993,30.22759228,-10.76562235
18,ictus,i,1,12.40790264,36.64228566,-24.23438302
18,ictus,iː,1,35.79128123,26.74248167,9.048799561
18,ictus,a,1,16.22124589,29.73278495,-13.51153906
18,ictus,ɵ,1,17.01404023,34.04913159,-17.03509137
18,ictus,ɵ,1,21.8960018,39.07369639,-17.1776946
18,ictus,y,1,18.84040247,38.83571763,-19.99531516
18,ictus,ɵ,1,21.98054134,37.79210319,-15.81156186
18,ictus,el,1,9.404087016,32.82285062,-23.4187636
18,ictus,ɵ,1,24.12131095,36.64353542,-12.52222448
18,ictus,y,1,16.92574185,34.26149315,-17.3357513
18,ictus,e,1,20.89229248,32.84732019,-11.95502771
18,ictus,e,1,17.03410223,39.45320701,-22.41910478
18,ictus,e,1,24.08653525,40.48468319,-16.39814794
18,ictus,o,1,19.28262067,33.95844068,-14.67582001
18,ictus,æl,1,16.92029251,28.72841713,-11.80812461
18,ictus,e,1,24.63575128,39.7062288,-15.07047751
18,ictus,o,1,18.42200888,29.17392931,-10.75192043
18,ictus,al,1,17.79348091,32.16338644,-14.36990553
18,ictus,al,1,18.75660363,39.91996989,-21.16336626
65,ictus,a,1,3.63670883,4.187354833,-0.550646004
65,ictus,a,1,-11.27651488,9.636370273,-20.91288515
65,ictus,ai,1,-7.749018161,1.809132604,-9.558150766
65,ictus,aː,1,1.079153073,2.422426555,-1.343273482
65,ictus,uː,1,-5.961605153,9.530983675,-15.49258883
65,ictus,u,1,-3.35565745,12.12647615,-15.48213361
65,ictus,a,1,4.613880629,2.720936419,1.892944211
65,ictus,y,1,-2.83717326,11.90669094,-14.7438642
65,ictus,a,1,-11.80517449,3.610786013,-15.41596051
65,ictus,ei,1,1.164359196,10.28531477,-9.120955576
65,ictus,a,1,-9.222502717,10.4443752,-19.66687792
65,ictus,o,1,-15.95654345,6.540404275,-22.49694773
65,ictus,u,1,-1.656621728,9.203350891,-10.85997262
65,ictus,al,1,-17.68865701,-8.225095288,-9.463561726
65,ictus,o,1,-6.517536,10.69180617,-17.20934217
65,ictus,a,1,-13.70581137,2.183654237,-15.88946561
65,ictus,ei,1,-2.52371024,11.02405588,-13.54776612
65,ictus,al,1,-12.25435527,-3.45908764,-8.795267633
65,ictus,o,1,-13.59581045,15.31131661,-28.90712706
65,ictus,y,1,-16.57978329,4.780328713,-21.360112
65,ictus,ol,1,-0.092639891,8.982061408,-9.074701299
65,ictus,al,1,-17.50449125,-4.709218789,-12.79527247
65,ictus,o,1,-8.70028647,-4.664718824,-4.035567646
65,ictus,e,1,4.672683105,2.414413685,2.25826942
65,ictus,oː,1,-11.96638026,4.621634038,-16.58801429
65,ictus,ei,1,-24.21870624,-1.167244727,-23.05146151
65,ictus,u,1,-1.498221129,8.472492601,-9.97071373
65,ictus,iː,1,-13.89463115,9.181847446,-23.0764786
65,ictus,øøː,1,-6.0473715,7.879852114,-13.92722361
65,ictus,eil,1,3.264394304,7.224124127,-3.959729823
65,ictus,øː,1,-9.28460111,11.41675684,-20.70135795
65,ictus,i,1,-6.443108891,12.12669306,-18.56980195
65,ictus,u,1,2.234141608,12.37908119,-10.14493958
65,ictus,a,1,-13.18461572,-7.558450508,-5.626165215
65,ictus,aː,1,-8.456176733,0.346860196,-8.803036929
65,ictus,eiː,1,0.123515612,5.7828564,-5.659340787
65,ictus,ul,1,-6.930649981,6.365692579,-13.29634256
65,ictus,uː,1,-7.671206133,7.172291303,-14.84349744
65,ictus,i,1,3.2780804,0.491962706,2.786117694
65,ictus,y,1,-6.793820604,3.565451387,-10.35927199
65,ictus,yl,1,-12.04667967,7.658315547,-19.70499522
65,ictus,a,1,-20.4795324,0.996315174,-21.47584758
